group_number,flower_type_label,plant_type_label,leaf_type_label,sub_group_1,sub_group_2,sub_group_3,description,page_number,extractor_warning
722,7 or More Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,,,,Aquatic plants,358,0
722,7 or More Regular Parts,Wildflowers - Basal Leaves Only,Leaves Entire,,,,Plants of dry places,360,0
723-724,7 or More Regular Parts,Wildflowers - Basal Leaves Only,Leaves Toothed or Lobed,Yellow flowers,,,Leaves 2 or more times longer than wide,362,0
723-724,7 or More Regular Parts,Wildflowers - Basal Leaves Only,Leaves Toothed or Lobed,Yellow flowers,,,Leaves about as wide as long,364,0
723-724,7 or More Regular Parts,Wildflowers - Basal Leaves Only,Leaves Toothed or Lobed,,,,"White, pink or blue flowers",364,0
732,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Yellow or orange flowers,,,Daisylike or asterlike flowers,366,0
732,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,Yellow or orange flowers,,,Dandelionlike flowers,366,0
732,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Entire,,,,Flowers not yellow,368,0
733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Yellow or orange flowers,Dandelionlike flowers,,"Stem leaves with a heart- or arrow-shaped base, which clasps the stem",370,0
733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Yellow or orange flowers,Dandelionlike flowers,,Stem leaves not heart- or arrow-shaped at the base,372,0
733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Yellow or orange flowers,Daisylike or asterlike flowers or flowers with shining petals,,Flower heads with a dark central disk,374,0
733-734,7 or More Regular Parts,Wildflowers - Alternate Leaves,Leaves Toothed or Lobed,Yellow or orange flowers,Daisylike or asterlike flowers or flowers with shining petals,,"Flower heads or flowers 1"" or more wide",376,0
